cod_dane,elev_media,elev_min,pendiente_media,pendiente_min,pct_plano,flujo_acum_media,flujo_acum_max,agua_ocurrencia,twi_medio
05667,1231.5288677428234,497,17.08408656046827,0.0,0.0167329169769079,253.91893530411897,7322,0.9419448661551642,3.0261141225705286
05044,1468.5911633201763,436,24.31141211988891,0.0,0.0030102454100619618,2185.7260289775445,151927,0.28638511968496655,2.5702361811134895
05021,1545.6505396188682,1144,15.690915975218585,0.0,0.05305882208978009,51.75625558510213,1840,4.349004324794474,3.1302084067502687
05240,1253.9575749913001,443,23.53345144071321,0.0,0.004212622431126006,2976.795418096958,153176,0.22952351937856097,2.608814473281121
05212,1914.3206411985764,1358,19.338515127145598,0.0,0.007678045454921756,124.9109410592241,3602,6.110337575063148E-5,2.956957881042048
05088,2242.8754313043773,1376,16.175830168101964,0.0,0.018522549979186998,62.60378686415282,3125,0.04880384881989969,3.047243453564097
05308,1863.5515490390549,1303,17.37521201765144,0.0,0.015725759142509347,141.06260424937616,3980,0.04785317978818008,3.0643469671471704
05206,2008.1728678268248,1495,16.46657763677138,0.0,0.03626486381145751,24.396608519337818,927,2.6677981540200597,2.9786639457458923
05142,623.9967283773152,110,18.121114227114532,0.0,0.008434325472305559,524.822059021606,26325,0.03605416334968883,3.0229715011193945
05656,1497.5450132844403,517,22.859607841224054,0.0,0.005130345999289339,34.937696245926844,995,2.5435015546720696E-5,2.648009322568147
05125,2343.468019762953,1024,27.091120890445204,0.0,0.001148505752062894,26.150768531322385,915,0.0,2.264493941709409
05079,1781.3653328555677,1118,19.92935769990568,0.0,0.008139516990491964,214.3399756596241,5479,0.0015997612893894168,2.9317373611857636
05664,2522.0069681095456,2257,12.150331246464887,0.0,0.03225867072842659,34.70680942643431,1674,0.7988933087742717,3.2883066849098044
05670,1123.8438345475638,439,16.372598496634623,0.0,0.01540807113594658,72.8841220983964,3479,0.3535234130365894,2.953359835424095
05690,1700.9685797962825,855,18.118464174961158,0.0,0.009093979513589536,66.8581249489741,5694,0.1599925076180049,2.797020175292454
05237,2059.901936065591,1046,16.516834104431013,0.0,0.01518179168139085,240.63062736417896,5950,0.5383645073161208,2.9647427221251568
05190,1382.4688502967347,860,18.268645077314527,0.0,0.007979264716318447,25.948518550031178,603,0.0,2.8312434423844093
05847,1613.7152241669905,74,21.15076237273307,0.0,0.011770709010531734,109.74320526511939,14518,0.030180103746978694,2.7096105100034458
05761,1249.4643591374895,434,21.798461950897497,0.0,0.016846105826347404,2524.466541878927,156769,0.2742024542607883,2.886259560880346
05425,766.8366973239484,210,16.515801537872637,0.0,0.01179488687190028,59.7812629931976,3212,1.0550228661115178E-4,3.0153050379352084
05501,1200.3799444706917,420,24.656901440183876,0.0,0.022668182970211923,6317.1280475435715,159081,0.6321885431607035,2.900412773715059
05264,2505.0162342962003,2252,13.677191754817732,0.0,0.027834096356346615,69.45921889618606,3082,1.1570762969270414,3.1930546928968258
05042,1498.1454731707872,400,25.09439431111152,0.0,0.009895063698115908,1938.1234406470637,160098,0.2103735638665292,2.530149250223984
05306,2092.275523465734,997,27.235623254127848,0.0,0.0010083192403445053,22.452984478991294,724,2.1279212952843564E-6,2.1986515093409795
